Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
19,6.39,2009,2011,25,0.16,2.65,0.00,MULLER B,MULLER B,2009,...,,,,1.5,,7
2,0.00,,,23,0.07,1.00,0.00,WESTERHOFF L,WESTERHOFF L,2022,...,,,,-0.5,,1
2,0.00,,,23,0.07,1.00,0.00,DI GREGORIOM,DI GREGORIOM,2022,...,,,,-0.5,,1
2,0.00,,,23,0.16,1.00,0.00,BIRKMANN J,BIRKMANN J,2022,...,,,,-0.5,,1
3,0.00,,,23,0.09,1.00,0.00,CONEVSKA A,CONEVSKA A,2020,...,,,,-0.5,,7
20,0.00,,,23,0.15,1.00,0.00,GRASSO M,GRASSO M,2010,...,,,,7.5,,5
16,3.29,2009,2011,21,0.16,1.65,0.00,TOL RSJ,TOL RSJ,2009,...,,,,4.5,,8
4,0.00,,,21,0.05,1.00,0.00,MCNAMARA KE,MCNAMARA KE,2020,...,,,,2.5,,7
3,0.00,,,20,0.01,1.00,0.00,DUUS-OTTERSTRÖM G,DUUS-OTTERSTRÖM G,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,SCHNEIDER A,SCHNEIDER A,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,DODMAN D,DODMAN D,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,LASAGE R,LASAGE R,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,FISHER RJ,FISHER RJ,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,MEARNS R,MEARNS R,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,PICCOLELLA A,PICCOLELLA A,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,KEPE T,KEPE T,2020,...,,,,-0.5,,7
4,0.00,,,20,0.00,1.00,0.00,BROCKHAUS M,BROCKHAUS M,2020,...,,,,1.5,,7
2,0.00,,,20,0.00,1.00,0.00,REGMI BR,REGMI BR,2020,...,,,,-0.5,,7
4,0.00,,,20,0.00,1.00,0.00,REID H,REID H,2020,...,,,,1.5,,7
2,0.00,,,20,0.00,1.00,0.00,BARDHAN P,BARDHAN P,2020,...,,,,-0.5,,7
23,0.00,,,20,0.28,1.00,0.00,AYERS J,AYERS J,2014,...,,,,5.5,,3
2,0.00,,,20,0.00,1.00,0.00,BIESBROEK R,BIESBROEK R,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,TACCONI L,TACCONI L,2020,...,,,,-0.5,,7
47,0.00,,,20,0.19,1.00,0.00,ADGER WN,ADGER WN,2009,...,,,,7.5,,4
2,0.00,,,20,0.00,1.00,0.00,FORSYTH T,FORSYTH T,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,KIRKBY P,KIRKBY P,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,LEBEL L,LEBEL L,2020,...,,,,-0.5,,7
2,0.00,,,20,0.00,1.00,0.00,BOSMA M,BOSMA M,2020,...,,,,-0.5,,7
36,3.33,2009,2016,18,0.19,1.77,0.00,KLEIN RJT,KLEIN RJT,2009,...,,,,5.5,,2
18,3.75,2010,2015,18,0.15,1.68,0.00,FÜSSEL HM,FÜSSEL HM,2010,...,,,,3.5,,2
2,0.00,,,17,0.22,1.00,0.00,SARKODIE SA,SARKODIE SA,2023,...,,,,-0.5,,5
28,0.00,,,17,0.19,1.00,0.00,FANKHAUSER S,FANKHAUSER S,2010,...,,,,5.5,,0
24,0.00,,,16,0.14,1.00,0.00,BARRETT S,BARRETT S,2013,...,,,,7.5,,0
11,0.00,,,15,0.14,1.00,0.00,CHEN C,CHEN C,2019,...,,,,2.5,,5
3,0.00,,,15,0.05,1.00,0.00,KUMAR S,KUMAR S,2022,...,,,,-0.5,,1
16,3.05,2013,2015,15,0.10,1.34,0.00,ERIKSEN S,ERIKSEN S,2010,...,,,,4.5,,8
10,0.00,,,15,0.11,1.00,0.00,HINKEL J,HINKEL J,2011,...,,,,8.5,,2
18,0.00,,,15,0.12,1.00,0.00,BETZOLD C,BETZOLD C,2018,...,,,,3.5,,5
6,0.00,,,14,0.07,1.00,0.00,HORSTMANN B,HORSTMANN B,2014,...,,,,2.5,,2
2,0.00,,,13,0.08,1.00,0.00,AFFUL-KOOMSON T,AFFUL-KOOMSON T,2018,...,,,,-0.5,,9
18,0.00,,,13,0.04,1.00,0.00,PERSSON A,PERSSON A,2017,...,,,,3.5,,1
24,3.75,2014,2017,12,0.08,1.34,0.00,STADELMANN M,STADELMANN M,2014,...,,,,4.5,,5
12,3.59,2022,2024,12,0.08,1.30,0.00,WEILER F,WEILER F,2020,...,,,,2.5,,5
9,3.65,2015,2016,11,0.08,1.33,0.00,HUQ S,HUQ S,2015,...,,,,0.5,,6
2,0.00,,,11,0.00,1.00,0.00,BOWMAN M,BOWMAN M,2022,...,,,,-0.5,,1
2,0.00,,,11,0.00,1.00,0.00,MASULLO I,MASULLO I,2022,...,,,,-0.5,,1
2,0.00,,,11,0.00,1.00,0.00,BRACKING S,BRACKING S,2022,...,,,,-0.5,,1
2,0.00,,,11,0.00,1.00,0.00,BRECHIN SR,BRECHIN SR,2022,...,,,,-0.5,,1
4,0.00,,,11,0.05,1.00,0.00,KLEIN RJ,KLEIN RJ,2014,...,,,,5.5,,2
2,0.00,,,11,0.00,1.00,0.00,TANNER T,TANNER T,2022,...,,,,-0.5,,1
2,0.00,,,11,0.00,1.00,0.00,ZAMARIOLI LH,ZAMARIOLI LH,2022,...,,,,-0.5,,1
2,0.00,,,11,0.00,1.00,0.00,SAMUWAI J,SAMUWAI J,2022,...,,,,-0.5,,1
7,0.00,,,11,0.08,1.00,0.00,KHAN M,KHAN M,2021,...,,,,0.5,,1
33,3.29,2013,2018,10,0.05,1.19,0.00,WORLD BANK,WORLD BANK,2010,...,,,,4.5,,6
4,0.00,,,10,0.02,1.00,0.00,THOMAS DSG,THOMAS DSG,2013,...,,,,0.5,,2
